pickup_borough,pickup_zone_name,route_borough,route_zone_name,no_trips
Manhattan,SoHo,Manhattan-Staten Island,SoHo-West Brighton,3
Manhattan,SoHo,Manhattan-EWR,SoHo-Newark Airport,1369
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Williamsburg (North Side),4445
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Heartland Village/Todt Hill,6
Manhattan,SoHo,Manhattan-Queens,SoHo-Baisley Park,31
Manhattan,SoHo,Manhattan-Staten Island,SoHo-New Dorp/Midland Beach,5
Manhattan,SoHo,Manhattan-Queens,SoHo-Elmhurst,225
Manhattan,SoHo,Manhattan-Queens,SoHo-Bay Terrace/Fort Totten,9
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Chinatown,3826
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Borough Park,70
Manhattan,SoHo,Manhattan-Bronx,SoHo-Crotona Park East,6
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Financial District North,10926
Manhattan,SoHo,Manhattan-Queens,SoHo-Springfield Gardens North,5
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Arden Heights,4
Manhattan,SoHo,Manhattan-Bronx,SoHo-West Farms/Bronx River,17
Manhattan,SoHo,Manhattan-Queens,SoHo-South Jamaica,6
Manhattan,SoHo,Manhattan-Staten Island,SoHo-Rossville/Woodrow,2
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-East New York,76
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Gravesend,23
Manhattan,SoHo,Manhattan-Manhattan,SoHo-UN/Turtle Bay South,4128
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Red Hook,348
Manhattan,SoHo,Manhattan-Bronx,SoHo-Schuylerville/Edgewater Park,13
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Cobble Hill,949
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Inwood Hill Park,10
Manhattan,SoHo,Manhattan-Queens,SoHo-Hillcrest/Pomonok,24
Manhattan,SoHo,Manhattan-Queens,SoHo-Queens Village,6
Manhattan,SoHo,Manhattan-Bronx,SoHo-Claremont/Bathgate,7
Manhattan,SoHo,Manhattan-Manhattan,SoHo-World Trade Center,7721
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-DUMBO/Vinegar Hill,2206
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Sunset Park West,624
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Greenwich Village South,13819
Manhattan,SoHo,Manhattan-Bronx,SoHo-Eastchester,4
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Cypress Hills,36
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Seaport,3807
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Crown Heights South,342
Manhattan,SoHo,Manhattan-Manhattan,SoHo-West Village,29588
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Ocean Hill,110
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Stuy Town/Peter Cooper Village,2378
Manhattan,SoHo,Manhattan-Queens,SoHo-North Corona,70
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Lower East Side,22604
Manhattan,SoHo,Manhattan-Queens,SoHo-Murray Hill-Queens,19
Manhattan,SoHo,Manhattan-Queens,SoHo-Elmhurst/Maspeth,136
Manhattan,SoHo,Manhattan-Bronx,SoHo-Melrose South,38
Manhattan,SoHo,Manhattan-Queens,SoHo-Saint Albans,7
Manhattan,SoHo,Manhattan-Manhattan,SoHo-East Chelsea,19123
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Union Sq,27110
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Battery Park City,13801
Manhattan,SoHo,Manhattan-Bronx,SoHo-Woodlawn/Wakefield,16
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Downtown Brooklyn/MetroTech,1891
Manhattan,SoHo,Manhattan-Queens,SoHo-Jamaica Estates,28
Manhattan,SoHo,Manhattan-Queens,SoHo-Flushing,83
Manhattan,SoHo,Manhattan-Bronx,SoHo-Belmont,22
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Times Sq/Theatre District,15034
Manhattan,SoHo,Manhattan-Manhattan,SoHo-Murray Hill,16172
Manhattan,SoHo,Manhattan-Brooklyn,SoHo-Bedford,1672
