pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Bronx,8/3/16,Tuesday,22,16
EWR,16/6/16,Thursday,21,1
EWR,14/6/16,Tuesday,16,1
Staten Island,27/5/16,Friday,23,2
Bronx,5/2/16,Friday,14,13
EWR,27/4/16,Wednesday,15,5
Bronx,26/5/16,Thursday,4,7
Bronx,22/3/16,Tuesday,20,6
EWR,9/6/16,Thursday,21,1
Bronx,16/4/16,Saturday,11,6
Staten Island,9/5/16,Monday,16,2
Staten Island,17/6/16,Friday,10,1
Staten Island,25/6/16,Saturday,15,2
Staten Island,10/4/16,Sunday,3,2
Bronx,30/3/16,Wednesday,1,9
EWR,8/2/16,Monday,11,2
Bronx,25/3/16,Friday,10,6
Bronx,31/5/16,Tuesday,8,14
Staten Island,15/3/16,Tuesday,12,3
Bronx,4/3/16,Friday,13,10
EWR,13/5/16,Friday,20,1
Bronx,15/6/16,Wednesday,12,16
Staten Island,25/5/16,Wednesday,9,2
EWR,6/4/16,Wednesday,20,1
Bronx,22/1/16,Friday,5,6
Bronx,28/2/16,Sunday,11,10
Bronx,2/6/16,Thursday,2,9
Bronx,1/6/16,Wednesday,22,17
Staten Island,6/4/16,Wednesday,11,1
Bronx,14/2/16,Sunday,12,9
Bronx,5/1/16,Tuesday,17,19
Bronx,22/4/16,Friday,7,14
Bronx,19/5/16,Thursday,10,7
Bronx,16/2/16,Tuesday,11,5
EWR,12/1/16,Tuesday,18,1
Bronx,2/6/16,Thursday,14,9
Staten Island,18/4/16,Monday,2,1
Bronx,16/3/16,Wednesday,14,6
Bronx,4/2/16,Thursday,12,7
Bronx,28/2/16,Sunday,21,24
Bronx,28/6/16,Tuesday,22,16
Staten Island,15/2/16,Monday,13,1
Bronx,19/6/16,Sunday,6,13
Bronx,28/1/16,Thursday,12,3
EWR,31/1/16,Sunday,5,1
Bronx,2/2/16,Tuesday,23,10
Bronx,12/3/16,Saturday,2,27
EWR,18/3/16,Friday,17,2
EWR,8/6/16,Wednesday,4,1
Bronx,15/1/16,Friday,23,19
EWR,17/2/16,Wednesday,12,3
Staten Island,31/3/16,Thursday,0,1
EWR,11/3/16,Friday,22,2
Bronx,10/3/16,Thursday,5,9
Bronx,24/3/16,Thursday,1,26
Staten Island,23/6/16,Thursday,9,4
EWR,9/6/16,Thursday,15,4
Bronx,10/6/16,Friday,20,7
Bronx,30/4/16,Saturday,19,10
Bronx,6/3/16,Sunday,1,35
Bronx,20/4/16,Wednesday,17,24
Bronx,14/4/16,Thursday,22,12
Bronx,31/3/16,Thursday,4,8
Bronx,21/1/16,Thursday,16,7
Staten Island,24/3/16,Thursday,22,3
Bronx,20/1/16,Wednesday,17,20
Staten Island,10/5/16,Tuesday,10,1
Bronx,3/2/16,Wednesday,23,8
Bronx,25/2/16,Thursday,20,17
Bronx,26/2/16,Friday,3,12
Bronx,20/4/16,Wednesday,22,13
Bronx,31/5/16,Tuesday,3,4
Bronx,13/2/16,Saturday,0,24
EWR,16/6/16,Thursday,11,3
Bronx,22/3/16,Tuesday,8,15
Bronx,26/6/16,Sunday,15,23
Bronx,8/3/16,Tuesday,9,3
Bronx,3/4/16,Sunday,13,9
Bronx,29/2/16,Monday,12,18
EWR,29/6/16,Wednesday,7,2
EWR,20/3/16,Sunday,9,1
Bronx,11/1/16,Monday,21,7
Staten Island,30/6/16,Thursday,9,2
Bronx,9/4/16,Saturday,16,6
Staten Island,7/1/16,Thursday,10,1
EWR,10/6/16,Friday,13,1
Staten Island,4/4/16,Monday,19,3
EWR,15/2/16,Monday,6,1
Staten Island,19/2/16,Friday,5,1
Bronx,24/3/16,Thursday,8,20
Bronx,14/2/16,Sunday,11,10
EWR,30/5/16,Monday,18,4
Bronx,3/1/16,Sunday,19,13
Staten Island,23/6/16,Thursday,15,2
Bronx,11/3/16,Friday,9,8
Bronx,24/1/16,Sunday,15,14
EWR,27/6/16,Monday,15,3
EWR,25/3/16,Friday,16,3
Bronx,6/5/16,Friday,12,13
Bronx,19/3/16,Saturday,10,13
Staten Island,8/4/16,Friday,15,5
Bronx,18/1/16,Monday,11,3
EWR,19/2/16,Friday,17,2
Bronx,14/2/16,Sunday,1,29
Bronx,21/6/16,Tuesday,8,7
Bronx,4/4/16,Monday,3,4
EWR,2/1/16,Saturday,5,2
EWR,28/4/16,Thursday,17,5
Bronx,23/3/16,Wednesday,7,18
EWR,13/4/16,Wednesday,13,1
Staten Island,16/6/16,Thursday,23,1
Bronx,6/1/16,Wednesday,20,6
Bronx,20/6/16,Monday,3,10
Staten Island,14/5/16,Saturday,14,1
Bronx,9/5/16,Monday,13,5
Bronx,5/5/16,Thursday,11,7
Bronx,1/2/16,Monday,20,6
EWR,10/4/16,Sunday,13,1
Bronx,2/1/16,Saturday,21,10
EWR,20/4/16,Wednesday,15,6
EWR,22/6/16,Wednesday,14,1
Staten Island,22/6/16,Wednesday,14,1
EWR,10/1/16,Sunday,5,1
EWR,6/4/16,Wednesday,13,1
Bronx,22/1/16,Friday,20,6
Bronx,26/3/16,Saturday,12,5
Bronx,30/5/16,Monday,19,5
EWR,26/4/16,Tuesday,9,2
EWR,13/4/16,Wednesday,16,5
Staten Island,30/6/16,Thursday,11,3
Bronx,10/3/16,Thursday,19,18
Bronx,30/3/16,Wednesday,14,11
EWR,26/4/16,Tuesday,18,2
Bronx,29/2/16,Monday,19,12
Bronx,3/6/16,Friday,8,27
Bronx,25/2/16,Thursday,10,9
Bronx,13/5/16,Friday,2,14
Staten Island,24/2/16,Wednesday,13,2
Bronx,2/6/16,Thursday,11,11
Staten Island,11/4/16,Monday,18,5
Staten Island,3/5/16,Tuesday,23,1
EWR,14/5/16,Saturday,11,2
EWR,30/4/16,Saturday,7,2
EWR,22/5/16,Sunday,10,8
Bronx,27/3/16,Sunday,17,12
EWR,18/6/16,Saturday,14,1
Bronx,19/6/16,Sunday,21,25
EWR,10/2/16,Wednesday,10,1
Bronx,6/2/16,Saturday,22,18
Bronx,5/6/16,Sunday,11,17
EWR,12/6/16,Sunday,6,2
EWR,2/5/16,Monday,12,2
Bronx,22/1/16,Friday,21,13
Staten Island,15/2/16,Monday,8,2
Bronx,14/3/16,Monday,1,8
EWR,3/3/16,Thursday,14,4
Staten Island,24/3/16,Thursday,9,2
Bronx,20/6/16,Monday,0,17
Bronx,13/6/16,Monday,7,8
EWR,31/3/16,Thursday,17,4
Bronx,14/5/16,Saturday,16,14
EWR,5/6/16,Sunday,14,4
EWR,22/5/16,Sunday,12,4
Bronx,26/5/16,Thursday,21,12
EWR,17/3/16,Thursday,14,3
Bronx,1/3/16,Tuesday,10,8
EWR,30/1/16,Saturday,8,2
EWR,18/6/16,Saturday,6,2
Bronx,27/2/16,Saturday,4,27
EWR,9/1/16,Saturday,18,1
Bronx,14/4/16,Thursday,2,14
Staten Island,5/6/16,Sunday,17,1
Bronx,17/5/16,Tuesday,16,5
Bronx,23/5/16,Monday,2,7
EWR,5/6/16,Sunday,5,3
EWR,7/4/16,Thursday,22,1
Bronx,25/1/16,Monday,2,7
EWR,13/3/16,Sunday,6,3
Bronx,3/4/16,Sunday,16,6
Bronx,25/3/16,Friday,22,25
