pickup_borough,pickup_date,pickup_weekday_name,pickup_hour,no_of_trips
Bronx,2016-06-23,Thursday,4,11
Manhattan,2016-06-24,Friday,1,10174
Queens,2016-06-21,Tuesday,14,1140
Manhattan,2016-06-23,Thursday,4,2384
Manhattan,2016-06-21,Tuesday,8,18557
Brooklyn,2016-06-22,Wednesday,8,329
Brooklyn,2016-06-23,Thursday,9,149
Bronx,2016-06-23,Thursday,10,13
Bronx,2016-06-20,Monday,12,7
Bronx,2016-06-26,Sunday,9,11
Manhattan,2016-06-23,Thursday,10,16550
Bronx,2016-06-24,Friday,14,14
Bronx,2016-06-21,Tuesday,23,9
Queens,2016-06-22,Wednesday,22,1228
Brooklyn,2016-06-24,Friday,16,121
Queens,2016-06-25,Saturday,23,992
Staten Island,2016-06-23,Thursday,19,5
